N,P,K,Temperature,Humidity,Rainfall,SoilType,Region,Season,CropType,CropName,Area,FertilizerUsed,IrrigationType,PesticideUsage,SeedQuality,Production,Yield
100.2,59.9,184.0,19.2,58.7,422.2,Chalky,Karnataka,Summer,Cereal,Rice,3.982,49.4,Canal,3.074,Medium,14.805,3.718
71.8,7.6,56.4,18.6,90.1,1026.1,Sandy,Rajasthan,Summer,Fiber,Cotton,5.276,89.1,Tube well,4.892,Medium,4.912,0.931
110.1,96.5,291.8,17.1,79.9,536.2,Loam,Tamil Nadu,Kharif,Pulse,Chana,8.102,251.3,Canal,3.318,Low,9.641,1.19
109.3,42.5,137.7,25.8,36.7,442.1,Loam,Odisha,Rabi,Fiber,Cotton,8.672,371.4,Rainfed,2.051,High,17.795,2.052
245.1,87.8,32.5,17.2,63.1,534.9,Silt,Odisha,Summer,Pulse,Chana,8.807,347.5,Drip,0.948,High,13.448,1.527
33.7,123.5,265.5,20.5,93.2,767.4,Clay,Punjab,Rabi,Oilseed,Mustard,7.941,337.0,Canal,5.849,High,10.466,1.318
192.5,7.4,129.5,19.0,62.7,169.2,Loam,Rajasthan,Rabi,Fiber,Cotton,5.711,16.0,Canal,5.71,Medium,6.225,1.09
190.6,55.1,205.0,14.7,43.0,289.9,Clay,Bihar,Summer,Cereal,Maize,2.348,234.9,Drip,0.905,High,15.262,6.5
133.2,29.4,20.4,36.6,61.6,197.7,Silt,Tamil Nadu,Kharif,Oilseed,Soybean,0.205,184.9,Rainfed,4.508,High,0.443,2.162
191.3,59.9,266.0,21.6,24.8,512.6,Peaty,Gujarat,Summer,Pulse,Chana,5.454,219.9,Drip,4.905,Medium,7.439,1.364
177.9,67.7,66.1,23.5,26.9,204.1,Chalky,Karnataka,Rabi,Cash,Sugarcane,8.932,0.6,Rainfed,5.005,Medium,260.18,29.129
182.9,138.4,123.5,29.0,79.0,554.1,Chalky,Haryana,Summer,Cereal,Wheat,7.4,196.9,Canal,3.865,High,34.691,4.688
148.7,44.1,17.9,30.0,83.5,661.4,Clay,Maharashtra,Rabi,Oilseed,Soybean,9.824,382.4,Tube well,3.979,High,31.476,3.204
50.2,21.1,284.3,12.1,34.2,485.0,Clay,Rajasthan,Rabi,Vegetable,Tomato,3.528,174.0,Tube well,1.734,Medium,53.904,15.279
241.2,20.8,37.9,13.0,25.7,26.3,Loam,Maharashtra,Rabi,Pulse,Urad,4.207,146.7,Drip,4.532,Low,1.649,0.392
161.8,114.3,184.7,37.9,47.4,414.1,Peaty,Maharashtra,Rabi,Fiber,Cotton,6.805,393.4,Canal,2.396,Medium,13.018,1.913
243.3,69.8,211.6,25.2,73.3,532.0,Sandy,Rajasthan,Rabi,Cereal,Maize,8.116,255.5,Canal,4.622,Medium,61.406,7.566
15.5,144.3,90.4,22.5,88.2,296.5,Peaty,Gujarat,Kharif,Pulse,Moong,7.094,154.4,Drip,3.488,High,4.788,0.675
124.4,65.1,206.7,30.8,42.5,961.1,Chalky,Uttar Pradesh,Summer,Pulse,Masoor,4.647,211.2,Rainfed,3.075,High,3.35,0.721
200.0,146.2,207.1,26.6,56.6,944.6,Loam,Maharashtra,Summer,Fiber,Cotton,5.422,129.5,Drip,3.447,High,15.252,2.813
115.5,90.0,180.9,18.7,33.6,240.1,Loam,Karnataka,Kharif,Pulse,Chana,3.077,248.1,Rainfed,5.275,High,3.36,1.092
117.5,128.5,126.4,24.6,35.3,480.2,Sandy,Odisha,Rabi,Vegetable,Brinjal,6.388,276.8,Tube well,0.965,Low,63.893,10.002
13.1,96.6,37.2,14.8,36.2,101.8,Peaty,Haryana,Kharif,Vegetable,Onion,1.853,241.1,Tube well,5.352,High,30.864,16.656
118.3,53.1,180.8,29.2,54.6,955.3,Chalky,Gujarat,Summer,Oilseed,Groundnut,8.387,121.2,Canal,3.221,High,19.122,2.28
224.6,8.1,17.1,23.9,44.7,674.2,Loam,Uttar Pradesh,Kharif,Pulse,Chana,7.16,329.0,Rainfed,2.73,High,8.177,1.142
238.3,11.3,53.4,29.9,25.2,1163.1,Peaty,Tamil Nadu,Rabi,Oilseed,Sesame,6.002,347.1,Rainfed,2.359,High,3.775,0.629
90.0,36.3,258.5,28.5,27.8,634.0,Sandy,Rajasthan,Rabi,Oilseed,Groundnut,3.2,278.0,Canal,4.669,Medium,6.157,1.924
70.5,71.0,14.2,23.9,67.8,654.9,Clay,Uttar Pradesh,Summer,Oilseed,Sesame,1.836,32.6,Tube well,0.418,Medium,0.955,0.52
155.8,74.0,87.2,33.1,67.1,493.4,Sandy,Gujarat,Rabi,Cereal,Wheat,1.48,126.8,Canal,3.961,Medium,5.374,3.631
219.8,94.9,141.4,32.0,78.6,945.4,Silt,Gujarat,Summer,Pulse,Moong,6.847,204.4,Drip,5.668,Medium,5.991,0.875
247.7,36.6,191.4,20.4,71.1,423.9,Chalky,Haryana,Rabi,Pulse,Urad,6.262,357.5,Canal,3.607,Medium,4.778,0.763
144.4,102.0,278.7,26.4,77.6,4.3,Peaty,Tamil Nadu,Kharif,Oilseed,Soybean,0.731,113.2,Canal,2.189,High,2.419,3.309
221.6,141.5,259.2,32.4,92.4,655.6,Chalky,Gujarat,Rabi,Cereal,Rice,4.43,122.6,Rainfed,5.139,High,19.807,4.471
147.0,115.6,153.0,34.7,34.9,425.9,Silt,Odisha,Summer,Cereal,Wheat,3.231,37.6,Canal,0.42,High,8.307,2.571
62.5,132.7,167.8,23.7,76.2,70.6,Loam,Maharashtra,Kharif,Vegetable,Potato,2.685,282.6,Tube well,4.948,Medium,102.127,38.036
120.6,75.2,222.6,34.2,91.0,427.7,Silt,Punjab,Kharif,Pulse,Moong,0.647,233.0,Tube well,4.434,Low,0.393,0.607
219.5,103.3,155.0,15.2,22.7,1124.3,Silt,Maharashtra,Kharif,Cereal,Rice,5.267,374.8,Drip,0.144,High,25.276,4.799
196.0,100.3,223.2,8.2,44.6,950.7,Silt,Uttar Pradesh,Summer,Vegetable,Tomato,9.516,395.5,Drip,1.993,Low,210.646,22.136
215.8,113.0,246.6,10.2,92.1,115.8,Peaty,Odisha,Summer,Vegetable,Tomato,1.164,39.5,Canal,3.947,Medium,15.605,13.406
163.9,23.1,102.6,36.4,94.9,552.6,Loam,Haryana,Rabi,Pulse,Masoor,6.649,113.9,Drip,0.572,Medium,4.322,0.65
189.4,49.9,51.6,15.2,42.9,143.3,Chalky,Uttar Pradesh,Kharif,Cereal,Barley,8.261,89.7,Tube well,1.495,Medium,17.356,2.101
51.5,52.0,91.5,21.6,83.8,231.5,Peaty,Haryana,Kharif,Fiber,Cotton,3.569,248.3,Canal,3.815,Low,5.214,1.461
110.3,5.8,116.0,24.6,23.8,730.7,Silt,Bihar,Summer,Vegetable,Tomato,9.66,89.6,Canal,1.091,High,205.642,21.288
184.4,58.4,279.0,8.1,53.5,11.7,Chalky,Punjab,Kharif,Cereal,Barley,1.56,374.0,Rainfed,0.391,High,3.42,2.192
59.6,5.6,19.1,38.6,45.7,756.4,Chalky,Odisha,Summer,Cereal,Barley,2.806,259.1,Drip,5.184,Medium,4.714,1.68
229.6,51.2,253.8,17.5,64.3,249.4,Silt,Bihar,Kharif,Pulse,Chana,3.417,195.8,Canal,1.908,High,4.924,1.441
3.6,18.9,159.1,30.8,85.1,1103.0,Silt,Punjab,Rabi,Cereal,Wheat,3.617,267.4,Rainfed,0.629,Low,4.601,1.272
60.2,5.0,31.3,28.4,28.4,41.2,Sandy,Odisha,Kharif,Oilseed,Groundnut,8.987,393.3,Canal,1.168,Medium,11.351,1.263
169.3,100.9,62.7,34.8,72.5,7.0,Peaty,Rajasthan,Rabi,Cereal,Barley,0.062,181.4,Drip,0.494,Medium,0.175,2.827
81.2,12.6,83.3,39.7,71.5,682.0,Silt,Rajasthan,Summer,Pulse,Urad,1.066,135.3,Tube well,5.858,High,0.571,0.536
29.7,107.0,129.1,21.4,77.8,119.3,Loam,Bihar,Rabi,Cereal,Rice,2.823,132.3,Canal,0.881,High,13.319,4.718
26.1,117.2,293.4,33.4,59.3,462.4,Clay,Tamil Nadu,Rabi,Pulse,Chana,0.544,102.0,Rainfed,2.515,High,0.432,0.795
10.6,145.1,28.6,22.5,37.6,666.3,Sandy,Uttar Pradesh,Summer,Vegetable,Potato,5.995,181.2,Rainfed,0.324,Low,73.978,12.34
99.3,2.9,4.3,32.9,22.7,681.6,Chalky,Gujarat,Rabi,Vegetable,Onion,0.612,267.8,Canal,1.847,Medium,7.72,12.615
